Year,Region,Country,LOC,Block,new_location_name,new_block_name,Comment Barbara
2016,Early central East,Russia,6GRU1 L,1,6GRU1,L1,
2016,Early central East,Russia,6GRU1 L,2,6GRU1,L2,
2016,Early central East,Russia,6GRU2 L,1,6GRU2,L1,
2016,Early central East,Russia,6GRU2 L,2,6GRU2,L2,
2016,Early central East,Russia,6GRU2 L,3,6GRU2,L3,
2016,Early central East,Russia,6GRU2 L,4,6GRU2,L4,
2016,Early central East,Ukraine,6GUA1 L,2,6GUA1,L2,
2016,Early central East,Ukraine,6GUA1 L,3,6GUA1,L3,
2016,Early central East,Ukraine,6GUA2 L,1,6GUA2,L1,
2016,Early central East,Ukraine,6GUA3 L,1,6GUA3,L1,
2016,Early central East,Ukraine,6GUA3 L,2,6GUA3,L2,
2016,Early central East,Ukraine,6GUA3 L,3,6GUA3,L3,
2015,Late ME6,Italy,5ITA1_R1,1,5ITA1,1,This was either H or M. I don't know the answer
2015,Late ME6,Italy,5ITA1_R2,2,5ITA1,2,This was either H or M. I don't know the answer
2015,Late ME6,Italy,5ITA3-R1,1,5ITA3,1,This was either H or M. I don't know the answer
2015,Late ME6,Italy,5ITA3_R1,1,5ITA3,1,This was either H or M. I don't know the answer
2015,Late ME6,Italy,5ITA3_R2,2,5ITA3,2,This was either H or M. I don't know the answer
2016,Late ME6,Italy,6ITA2H,1,6ITA2,H1,
2016,Late ME6,Italy,6ITA2M,1,6ITA2,M1,
2016,Late ME7,Portugal,6POR1H,1,6POR1,H1,
2016,Late ME7,Portugal,6POR1M,1,6POR1,M1,
2016,Late ME7,Spain,6SPA1_R1,3,6SPA1,1,This was either H or M. I don't know the answer
2016,Late ME7,Spain,6SPA1_R2,4,6SPA1,2,This was either H or M. I don't know the answer
2016,Late ME7,Spain,6SPA2H,1,6SPA2,H1,
2016,Late ME7,Spain,6SPA2M,2,6SPA2,M1,
2016,Late ME7,Turkey,6TUR1H,2,6TUR1,H1,
2016,Late ME7,Turkey,6TUR1M,1,6TUR1,M1,
2016,Late ME7,Turkey,6TUR2H,1,6TUR2,H1,
2016,Late ME7,Turkey,6TUR2M,2,6TUR2,M1,
2016,Mid East,Bulgaria,6GBR1 L,1,6GBR1,L1,
2016,Mid East,Bulgaria,6GBR1 L,2,6GBR1,L2,
2016,Mid East,Bulgaria,6GBR1 M,1,6GBR1,M1,
2016,Mid East,Bulgaria,6GBR1 M,2,6GBR1,M2,
2016,Mid East,Croatia,6GCR1 L,1,6GCR1,L1,
2016,Mid East,Croatia,6GCR1 L,2,6GCR1,L2,
2016,Mid East,France,6FRA1H,1,6FRA1,H1,
2016,Mid East,France,6FRA1M,2,6FRA1,M1,
2016,Mid East,France,6FRA2H,2,6FRA2,H1,
2016,Mid East,France,6FRA2M,1,6FRA2,M1,
2016,Mid East,France,6FRA4H,1,6FRA4H,H1,
2016,Mid East,France,6FRA4M,1,6FRA4M,M1,
2016,Mid East,Hungary,6GHU1 L,1,6GHU1,L1,
2016,Mid East,Hungary,6GHU1 L,2,6GHU1,L2,
2016,Mid East,Hungary,6GHU1 M,1,6GHU1,M1,
2016,Mid East,Hungary,6GHU1 M,2,6GHU1,M2,
2016,Mid East,Hungary,6GHU2 L,1,6GHU2,L1,
2016,Mid East,Hungary,6GHU2 L,2,6GHU2,L2,
2016,Mid East,Hungary,6GHU2 M,1,6GHU2,M1,
2016,Mid East,Hungary,6GHU2 M,2,6GHU2,M2,
2016,Mid East,Hungary,6GHU3 L,1,6GHU3,L1,
2016,Mid East,Hungary,6GHU3 L,2,6GHU3,L2,
2016,Mid East,Hungary,6GHU4 L,1,6GHU4,L1,
2016,Mid East,Hungary,6GHU4 L,2,6GHU4,L2,
2016,Mid East,Hungary,6GHU4 M,1,6GHU4,M1,
2016,Mid East,Hungary,6GHU4 M,2,6GHU4,M2,
2016,Mid East,Hungary,6GHU7 L,1,6GHU7,L1,
2016,Mid East,Hungary,6GHU7 L,2,6GHU7,L2,
2016,Mid East,Hungary,6GHU7 M,1,6GHU7,M1,
2016,Mid East,Hungary,6GHU7 M,2,6GHU7,M2,
2016,Mid East,Romania,6GRO1 L,1,6GRO1,L1,
2016,Mid East,Romania,6GRO1 L,2,6GRO1,L2,
2016,Mid East,Romania,6GRO1 L,3,6GRO1,L3,
2016,Mid East,Romania,6GRO2 L,2,6GRO2,L2,
2016,Mid East,Romania,6GRO2 M,1,6GRO2,M1,
2016,Mid East,Russia,6GRU1 L,1,6GRU1,L1,
2016,Mid East,Russia,6GRU1 L,2,6GRU1,L2,
2016,Mid East,Russia,6GRU2 L,1,6GRU2,L1,
2016,Mid East,Russia,6GRU2 L,2,6GRU2,L2,
2016,Mid East,Russia,6GRU2 L,3,6GRU2,L3,
2016,Mid East,Russia,6GRU2 L,4,6GRU2,L4,
2016,Mid East,Slovakia,6GSK1 L,1,6GSK1,L1,
2016,Mid East,Slovakia,6GSK1 L,2,6GSK1,L2,
