"hybrid.silage","Intercept","density","density.2","YE","density.YE","YE.2"
"EL3023",0,0,0,0,0,0
"EM3029",0,0,0,1.55505753932566,0,0
"EM3349",0,0,0,0,0,0
"EM3616",0,0,0,1.71174540184596,0,0
"EN3130",-15.2761223609999,0,0,2.06787164262476,0,0
"EN3131",0,0,0,1.66256743534991,0,0
"EP2933XPY",0,0,0,0,0,0
"EP3560",-17.7096534635336,0,0,2.63514456390667,0,-0.0399928444016436
"EP3561",0,0,0,0,0,0
"EP3562",0,0,0,0,0,0
"EP3565",0,0,0,0,0,0
"EP3626",0,0,0,0,0,0.0533633797020332
"EQ2942",0,0,0,1.39760579708199,0,0
"EQ3472",0,0,0,0,0,0.0358960472264092
"EQ3578",0,0,0,0,0,0
"ES METRON",0,0,0.000486444132734163,0,0,0
"MALLORY",0,0,0,0,0,0
"EM3619",0,0,0,2.04923500542708,0,0
"EN3353",0,0,0,0,0,0
"EQ3048",227.535075043239,0,0,-23.2900179828193,0,0.646666539600842
"EQ3636",0,0,0,0,0,0
"EQ3812",0,0,0,0,0,0
"EQ4119",0,0,0,0,0,0
"EQ4120",0,0,0,0,0,0
"ER2602",0,0,0,0,0,0
"ER2707",0,0,-0.000722267875079367,0,0.00648688238805909,0
"ER2945",0,0,0,0,0,0
"ER2947",0,0.326292934880195,0,0,0,0
"ER3049",-58.8906647151422,0.285944908436757,0,0,0,0
"ER3050",0,0,0,0,0,0
"ER3257",0,0,-0.00125332769648525,0,0,0
"ER3259",-90.3435978237843,0,0,10.4257882677867,0,-0.261322059851727
"ER3262",0,0,0,0,0,0
"ER3373",57.7795780682337,0,0,-6.57623416962125,0,0.226123848078699
"ER3375",0,0,0,0,0,0
"ER3376",0,0,0,0,0,0
"ER3584",0,0,0,0,0,0
"ER3639",0,0,0,0,0,0
