YEAR,Region,Country,LOC,Block,HYBRID1,Pre,Commercial name,Family relatedness,density,USDA_GROUP,mean_yield,Comment,NEW LOC,NEW Block,,,,,
2016,Early central East,Czech Republic,CZECH2,1,AMBROSINI,AMBROSINI,AMBROSINI,,50,CLAY,7.365,,CZECH2,1,,,,,
2016,Early central East,Czech Republic,CZECH2,1,AMBROSINI,AMBROSINI,AMBROSINI,,95,CLAY,8.796,,CZECH2,1,,,,Questions to be asked:,Goal -> analysis:
2016,Early central East,Czech Republic,CZECH2,1,DKC2931,EL3023,DKC2931,Female Group 25,50,CLAY,7.2525,,CZECH2,1,,,,1. The difference between two tables -- why we want to study this clean tables,1. What kind information they have can help them predict the yeild?
2016,Early central East,Czech Republic,CZECH2,1,DKC2931,EL3023,DKC2931,Female Group 25,65,CLAY,8.045294118,,CZECH2,1,,,,2. What are the reseasons for considering only soil_text but not with others,"2. What kind of information we can provide? Recommend density, soil_text, provide YE"
2016,Early central East,Czech Republic,CZECH2,1,DKC2931,EL3023,DKC2931,Female Group 25,80,CLAY,6.97,,CZECH2,1,,,,Model:,3. variables information need to be considered in the model
2016,Early central East,Czech Republic,CZECH2,1,DKC2931,EL3023,DKC2931,Female Group 25,95,CLAY,10.45,,CZECH2,1,,,,YLD = Management +Environmental factors,4. what kind of prediction models will be better for this research questions/ data?
2016,Early central East,Czech Republic,CZECH2,1,DKC2931,EL3023,DKC2931,Female Group 25,110,CLAY,9.859285714,,CZECH2,1,,,,,
2016,Early central East,Czech Republic,CZECH2,1,DKC2972,EQ2942,DKC2972,Female Group 24,50,CLAY,7.923076923,,CZECH2,1,,,,Management:,Further consider questions:
2016,Early central East,Czech Republic,CZECH2,1,DKC2972,EQ2942,DKC2972,Female Group 24,65,CLAY,9.247647059,,CZECH2,1,,,,Environmental:,1. Products -  recommendation
2016,Early central East,Czech Republic,CZECH2,1,DKC2972,EQ2942,DKC2972,Female Group 24,95,CLAY,11.16125,,CZECH2,1,,,,,"2. Product cost consideration (cost: money, time, location, preference...)"
2016,Early central East,Czech Republic,CZECH2,1,DKC2972,EQ2942,DKC2972,Female Group 24,110,CLAY,11.71666667,,CZECH2,1,,,,"Analysis by years, location, block",3. add extra info to the model -> cluster analysis
2016,Early central East,Czech Republic,CZECH2,1,DKC3050,EN2930,DKC3050,Female Group 31,80,CLAY,9.698461538,,CZECH2,1,,,,by years/location/block,
2016,Early central East,Czech Republic,CZECH2,1,DKC3361,EP3361,DKC3361,Female Group 9,50,CLAY,8.472666667,,CZECH2,1,,,,,
2016,Early central East,Czech Republic,CZECH2,1,DKC3361,EP3361,DKC3361,Female Group 9,95,CLAY,12.204375,,CZECH2,1,,,Farm,,
2016,Early central East,Czech Republic,CZECH2,1,DKC3441,EM3456,DKC3441,Female Group 31,65,CLAY,10.045,,CZECH2,1,,,,,
2016,Early central East,Czech Republic,CZECH2,1,DKC3441,EM3456,DKC3441,Female Group 31,80,CLAY,11.03461538,,CZECH2,1,,,,,
2016,Early central East,Czech Republic,CZECH2,1,DKC3441,EM3456,DKC3441,Female Group 31,95,CLAY,11.15666667,,CZECH2,1,,,,,
2016,Early central East,Czech Republic,CZECH2,1,DKC3568,EP3565,DKC3568,Female Group 28,50,CLAY,7.455,,CZECH2,1,,,,,
2016,Early central East,Czech Republic,CZECH2,1,DKC3568,EP3565,DKC3568,Female Group 28,80,CLAY,7.113333333,,CZECH2,1,,,,,
2016,Early central East,Czech Republic,CZECH2,1,DKC3568,EP3565,DKC3568,Female Group 28,110,CLAY,10.633125,,CZECH2,1,,,,,
2016,Early central East,Czech Republic,CZECH2,1,DKC3579,EQ3569,DKC3579,Female Group 9,80,CLAY,8.410625,,CZECH2,1,,,,,
2016,Early central East,Czech Republic,CZECH2,1,DKC3579,EQ3569,DKC3579,Female Group 9,95,CLAY,10.40466667,,CZECH2,1,,,,,
2016,Early central East,Czech Republic,CZECH2,1,EQ3139,EQ3139,EQ3139,Female Group 31,110,CLAY,11.32235294,,CZECH2,1,,,,,
2016,Early central East,Czech Republic,CZECH2,1,RICARDINIO,RICARDINIO,RICARDINIO,,95,CLAY,9.305,,CZECH2,1,,,,,
2016,Early central East,Poland,POLAND3,1,AMBROSINI,AMBROSINI,AMBROSINI,,50,LOAM,10.56341463,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,AMBROSINI,AMBROSINI,AMBROSINI,,65,LOAM,12.30789474,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,AMBROSINI,AMBROSINI,AMBROSINI,,80,LOAM,13.37380952,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,AMBROSINI,AMBROSINI,AMBROSINI,,95,LOAM,14.28536585,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,AMBROSINI,AMBROSINI,AMBROSINI,,110,LOAM,14.47567568,,POLAND3,1,,,,,
2016,Early central East,Poland,POLAND3,1,DKC2931,EL3023,DKC2931,Female Group 25,50,LOAM,10.23953488,,POLAND3,1,,,,,
