season,setgroup,field,hybrid,family,density,block,MST,YLD,n,YieldEnv
s:2015,Late,f:5ITA1_,EF6715,Female Group 2,80,1,13,14.48,99,16.138869032
s:2015,Late,f:5ITA1_,EF6715,Female Group 2,95,1,13,16.34666667,99,16.138869032
s:2015,Late,f:5ITA1_,EF6715,Female Group 2,110,1,13,15.86875,99,16.138869032
s:2015,Late,f:5ITA1_,EF6715,Female Group 2,125,1,13,16.2875,99,16.138869032
s:2015,Late,f:5ITA1_,EF6715,Female Group 2,65,2,13,15.13333333,99,16.138869032
s:2015,Late,f:5ITA1_,EF6715,Female Group 2,80,2,13,14.15,99,16.138869032
s:2015,Late,f:5ITA1_,EF6715,Female Group 2,95,2,13,15.76153846,99,16.138869032
s:2015,Late,f:5ITA1_,EF6715,Female Group 2,110,2,13,15.90714286,99,16.138869032
s:2015,Late,f:5ITA1_,EF6715,Female Group 2,125,2,13,16.50625,99,16.138869032
s:2015,Late,f:5ITA3-,EF6715,Female Group 2,65,1,13,10.05,51,13.090824954
s:2015,Late,f:5ITA3-,EF6715,Female Group 2,80,1,13,12.425,51,13.090824954
s:2015,Late,f:5ITA3-,EF6715,Female Group 2,95,1,13,12.19444444,51,13.090824954
s:2015,Late,f:5ITA3-,EF6715,Female Group 2,110,1,13,11.8125,51,13.090824954
s:2015,Late,f:5ITA3-,EF6715,Female Group 2,125,1,13,12.1,51,13.090824954
s:2015,Late,f:5ITA3_,EF6715,Female Group 2,65,2,13,14.21052632,82,15.28796094
s:2015,Late,f:5ITA3_,EF6715,Female Group 2,80,2,13,12.91875,82,15.28796094
s:2015,Late,f:5ITA3_,EF6715,Female Group 2,95,2,13,14.08181818,82,15.28796094
s:2015,Late,f:5ITA3_,EF6715,Female Group 2,110,2,13,12.8,82,15.28796094
s:2015,Late,f:5ITA3_,EF6715,Female Group 2,125,2,13,13.71764706,82,15.28796094
s:2015,Late,f:5ITA1_,EH6716,Female Group 58,80,1,13,15.79230769,99,16.150604704
s:2015,Late,f:5ITA1_,EH6716,Female Group 58,95,1,13,14.90714286,99,16.150604704
s:2015,Late,f:5ITA1_,EH6716,Female Group 58,110,1,13,15.19285714,99,16.150604704
s:2015,Late,f:5ITA1_,EH6716,Female Group 58,125,1,13,13.23333333,99,16.150604704
