YEAR,Region,Country,LOC,Block,HYBRID,Pre-commercial name,Commercial name,Family relatedness,density,mean_yield,Comment,NEW LOC,NEW Block
2016,Early central East,Czech Republic,CZECH2,1,AMBROSINI,AMBROSINI,AMBROSINI,,50,7.365,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,AMBROSINI,AMBROSINI,AMBROSINI,,65,8.438125,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,AMBROSINI,AMBROSINI,AMBROSINI,,80,8.7475,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,AMBROSINI,AMBROSINI,AMBROSINI,,95,8.796,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,AMBROSINI,AMBROSINI,AMBROSINI,,110,8.42,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC2931,EL3023,DKC2931,Female Group 25,50,7.2525,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC2931,EL3023,DKC2931,Female Group 25,65,8.045294118,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC2931,EL3023,DKC2931,Female Group 25,80,6.97,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC2931,EL3023,DKC2931,Female Group 25,95,10.45,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC2931,EL3023,DKC2931,Female Group 25,110,9.859285714,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC2972,EQ2942,DKC2972,Female Group 24,50,7.923076923,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC2972,EQ2942,DKC2972,Female Group 24,65,9.247647059,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC2972,EQ2942,DKC2972,Female Group 24,80,7.495,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC2972,EQ2942,DKC2972,Female Group 24,95,11.16125,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC2972,EQ2942,DKC2972,Female Group 24,110,11.71666667,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3050,EN2930,DKC3050,Female Group 31,50,8.216,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3050,EN2930,DKC3050,Female Group 31,65,9.731875,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3050,EN2930,DKC3050,Female Group 31,80,9.698461538,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3050,EN2930,DKC3050,Female Group 31,95,10.28266667,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3050,EN2930,DKC3050,Female Group 31,110,9.637058824,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3361,EP3361,DKC3361,Female Group 9,50,8.472666667,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3361,EP3361,DKC3361,Female Group 9,65,9.422941176,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3361,EP3361,DKC3361,Female Group 9,80,8.31,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3361,EP3361,DKC3361,Female Group 9,95,12.204375,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3361,EP3361,DKC3361,Female Group 9,110,11.82375,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3441,EM3456,DKC3441,Female Group 31,50,9.264,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3441,EM3456,DKC3441,Female Group 31,65,10.045,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3441,EM3456,DKC3441,Female Group 31,80,11.03461538,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3441,EM3456,DKC3441,Female Group 31,95,11.15666667,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3441,EM3456,DKC3441,Female Group 31,110,10.10176471,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3452,EN3357,DKC3452,Female Group 32,50,7.827777778,Drop - can be excluded,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3452,EN3357,DKC3452,Female Group 32,65,8.45,Drop - can be excluded,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3452,EN3357,DKC3452,Female Group 32,80,8.535,Drop - can be excluded,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3452,EN3357,DKC3452,Female Group 32,95,9.989285714,Drop - can be excluded,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3452,EN3357,DKC3452,Female Group 32,110,9.954666667,Drop - can be excluded,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3568,EP3565,DKC3568,Female Group 28,50,7.455,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3568,EP3565,DKC3568,Female Group 28,65,8.30375,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3568,EP3565,DKC3568,Female Group 28,80,7.113333333,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3568,EP3565,DKC3568,Female Group 28,95,10.34333333,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3568,EP3565,DKC3568,Female Group 28,110,10.633125,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3579,EQ3569,DKC3579,Female Group 9,50,8.474285714,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3579,EQ3569,DKC3579,Female Group 9,65,8.735625,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3579,EQ3569,DKC3579,Female Group 9,80,8.410625,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3579,EQ3569,DKC3579,Female Group 9,95,10.40466667,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,DKC3579,EQ3569,DKC3579,Female Group 9,110,10.24833333,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,EQ3139,EQ3139,EQ3139,Female Group 31,50,8.930769231,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,EQ3139,EQ3139,EQ3139,Female Group 31,65,9.60875,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,EQ3139,EQ3139,EQ3139,Female Group 31,80,8.397777778,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,EQ3139,EQ3139,EQ3139,Female Group 31,95,10.97785714,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,EQ3139,EQ3139,EQ3139,Female Group 31,110,11.32235294,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,RICARDINIO,RICARDINIO,RICARDINIO,,95,9.305,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,RICARDINIO,RICARDINIO,RICARDINIO,,110,10.246875,,CZECH2,1
2016,Early central East,Poland,POLAND3,1,AMBROSINI,AMBROSINI,AMBROSINI,,50,10.56341463,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,AMBROSINI,AMBROSINI,AMBROSINI,,65,12.30789474,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,AMBROSINI,AMBROSINI,AMBROSINI,,80,13.37380952,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,AMBROSINI,AMBROSINI,AMBROSINI,,95,14.28536585,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,AMBROSINI,AMBROSINI,AMBROSINI,,110,14.47567568,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC2931,EL3023,DKC2931,Female Group 25,50,10.23953488,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC2931,EL3023,DKC2931,Female Group 25,65,11.25128205,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC2931,EL3023,DKC2931,Female Group 25,80,12.27435897,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC2931,EL3023,DKC2931,Female Group 25,95,13.6375,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC2931,EL3023,DKC2931,Female Group 25,110,14.55405405,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC2972,EQ2942,DKC2972,Female Group 24,50,11.04736842,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC2972,EQ2942,DKC2972,Female Group 24,65,12.75135135,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC2972,EQ2942,DKC2972,Female Group 24,80,13.89285714,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC2972,EQ2942,DKC2972,Female Group 24,95,14.5025,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC2972,EQ2942,DKC2972,Female Group 24,110,14.97179487,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3050,EN2930,DKC3050,Female Group 31,50,12.34545455,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3050,EN2930,DKC3050,Female Group 31,65,13.1974359,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3050,EN2930,DKC3050,Female Group 31,80,14.88333333,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3050,EN2930,DKC3050,Female Group 31,95,14.53953488,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3050,EN2930,DKC3050,Female Group 31,110,15.7,,POLAND3,1
